Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,925.000000,925.000000,815.000000,875.000000,863.872925,584706700
2023-02-27,875.000000,875.000000,830.000000,830.000000,819.445190,90183300
2023-02-28,815.000000,840.000000,800.000000,800.000000,789.826660,65393800
2023-03-01,800.000000,840.000000,800.000000,835.000000,824.381592,43259400
2023-03-02,840.000000,875.000000,820.000000,870.000000,858.936523,55298000
2023-03-03,870.000000,875.000000,855.000000,875.000000,863.872925,34181600
2023-03-06,870.000000,880.000000,845.000000,860.000000,849.063660,30521300
2023-03-07,860.000000,875.000000,855.000000,860.000000,849.063660,14088300
2023-03-08,860.000000,865.000000,850.000000,860.000000,849.063660,8540300
2023-03-09,860.000000,865.000000,850.000000,855.000000,844.127258,11006800
2023-03-10,855.000000,860.000000,830.000000,860.000000,849.063660,10084800
2023-03-13,860.000000,860.000000,830.000000,840.000000,829.317993,4519100
2023-03-14,840.000000,840.000000,810.000000,825.000000,814.508789,8412400
2023-03-15,825.000000,835.000000,805.000000,810.000000,799.699524,10350600
2023-03-16,810.000000,815.000000,775.000000,790.000000,779.953857,32026000
2023-03-17,790.000000,820.000000,785.000000,805.000000,794.763123,11337700
2023-03-20,800.000000,820.000000,795.000000,800.000000,789.826660,11086800
2023-03-21,800.000000,800.000000,790.000000,800.000000,789.826660,2938400
2023-03-24,800.000000,805.000000,785.000000,795.000000,784.890259,5173700
2023-03-27,800.000000,800.000000,740.000000,740.000000,730.589661,19315600
2023-03-28,700.000000,740.000000,690.000000,695.000000,686.161926,27500000
2023-03-29,695.000000,720.000000,675.000000,710.000000,700.971191,12946300
2023-03-30,710.000000,720.000000,695.000000,705.000000,696.034790,5913300
2023-03-31,715.000000,720.000000,690.000000,695.000000,686.161926,14933900
2023-04-03,695.000000,700.000000,655.000000,655.000000,646.670593,19558900
2023-04-04,620.000000,665.000000,620.000000,660.000000,651.606995,10990000
2023-04-05,655.000000,675.000000,650.000000,665.000000,656.543457,7587200
2023-04-06,665.000000,670.000000,650.000000,650.000000,641.734192,8404500
2023-04-10,650.000000,655.000000,610.000000,615.000000,607.179260,18448600
2023-04-11,595.000000,715.000000,595.000000,695.000000,686.161926,37952700
2023-04-12,700.000000,710.000000,660.000000,685.000000,676.289124,29865300
2023-04-13,685.000000,730.000000,670.000000,720.000000,710.843994,23065000
2023-04-14,725.000000,735.000000,705.000000,720.000000,710.843994,19684800
2023-04-17,730.000000,760.000000,715.000000,750.000000,740.462524,22994600
2023-04-18,755.000000,760.000000,735.000000,750.000000,740.462524,12663400
2023-04-26,750.000000,775.000000,720.000000,765.000000,755.271790,8322100
2023-04-27,765.000000,765.000000,740.000000,760.000000,750.335327,12986300
2023-04-28,760.000000,770.000000,745.000000,755.000000,745.398926,9437800
2023-05-02,755.000000,765.000000,740.000000,765.000000,755.271790,9443900
2023-05-03,765.000000,765.000000,750.000000,760.000000,750.335327,9151700
2023-05-04,760.000000,775.000000,755.000000,770.000000,760.208191,7527200
2023-05-05,775.000000,775.000000,740.000000,750.000000,740.462524,4341400
2023-05-08,750.000000,785.000000,745.000000,770.000000,760.208191,8256300
2023-05-09,770.000000,775.000000,750.000000,770.000000,760.208191,9160000
2023-05-10,770.000000,785.000000,760.000000,780.000000,770.080994,15681500
2023-05-11,780.000000,785.000000,770.000000,780.000000,770.080994,3764000
2023-05-12,785.000000,790.000000,765.000000,785.000000,775.017456,54525100
2023-05-15,790.000000,855.000000,780.000000,840.000000,829.317993,44699900
2023-05-16,835.000000,850.000000,830.000000,840.000000,829.317993,17007600
2023-05-17,840.000000,860.000000,830.000000,840.000000,829.317993,12053700
2023-05-19,840.000000,855.000000,835.000000,850.000000,839.190857,8371300
2023-05-22,850.000000,855.000000,795.000000,815.000000,804.635925,14387000
2023-05-23,815.000000,820.000000,800.000000,815.000000,804.635925,5468900
2023-05-24,815.000000,870.000000,805.000000,830.000000,819.445190,17176100
2023-05-25,830.000000,845.000000,810.000000,825.000000,814.508789,5667500
2023-05-26,825.000000,845.000000,810.000000,840.000000,829.317993,3715000
2023-05-29,840.000000,865.000000,820.000000,860.000000,849.063660,7214500
2023-05-30,860.000000,885.000000,850.000000,885.000000,873.745789,23644400
2023-05-31,885.000000,920.000000,880.000000,910.000000,898.427856,38856100
2023-06-05,905.000000,920.000000,900.000000,910.000000,898.427856,28913700
2023-06-06,915.000000,935.000000,910.000000,925.000000,913.237122,54003400
2023-06-07,925.000000,930.000000,910.000000,910.000000,898.427856,20918600
2023-06-08,910.000000,910.000000,855.000000,860.000000,849.063660,11927200
2023-06-09,865.000000,865.000000,850.000000,860.000000,849.063660,6627500
2023-06-12,860.000000,860.000000,830.000000,855.000000,844.127258,11086600
2023-06-13,855.000000,855.000000,830.000000,855.000000,844.127258,25573900
2023-06-15,850.000000,850.000000,825.000000,830.000000,830.000000,2763100
